player_name,tournaments,batting_runs,batting_balls,batting_innings,batting_average,batting_strike_rate,batting_fours,batting_sixes,bowling_wickets,bowling_runs,bowling_overs,bowling_economy,catches,stumpings,run_outs
V Kohli,"ipl,tests,odis",31948,38178,761,48.26,83.68,3117,474,9,1097,181.3,6.05,0,0,0
Shakib Al Hasan,"ipl,bbl,cpl,psl,it20s,tests,odis",12633,16249,438,32.73,77.75,1284,126,609,18750,4642.0,4.04,0,0,0
RA Jadeja,"ipl,tests,odis",10078,13064,458,32.72,77.14,839,251,736,22044,5694.7,3.87,0,0,0
KC Sangakkara,"ipl,bbl,cpl,psl,ntb,tests,odis",23871,32745,585,44.87,72.9,2490,201,0,46,13.0,3.54,0,0,0
JE Root,"ipl,bbl,ntb,tests,odis",21508,32257,494,48.88,66.68,2125,109,114,5572,1360.8,4.09,0,0,0
AB de Villiers,"ipl,bbl,cpl,psl,ntb,tests,odis",23542,28096,585,48.84,83.79,2238,547,9,298,66.0,4.52,0,0,0
DA Warner,"ipl,bbl,cpl,psl,tests,odis",23122,24850,589,42.27,93.05,2532,460,4,282,58.2,4.85,0,0,0
RG Sharma,"ipl,tests,odis",22409,24879,647,39.11,90.07,2149,730,26,1209,222.0,5.45,0,0,0
SR Watson,"ipl,bbl,cpl,psl,tests,odis",15651,17574,502,34.7,89.06,1624,502,360,11204,2335.2,4.8,0,0,0
CH Gayle,"ipl,bbl,cpl,psl,ntb,tests,odis",19104,19049,563,37.39,100.29,1869,963,169,6319,1518.8,4.16,0,0,0
R Ashwin,"ipl,tests,odis",5013,7885,304,20.71,63.58,520,59,872,23883,6346.8,3.76,0,0,0
JH Kallis,"ipl,bbl,cpl,tests,odis",15280,23891,403,43.04,63.96,1550,174,313,10767,2643.5,4.07,0,0,0
DJ Bravo,"ipl,bbl,cpl,psl,ntb,tests,odis",8358,9977,437,24.37,83.77,691,264,636,17400,3017.8,5.77,0,0,0
KS Williamson,"ipl,cpl,ntb,tests,odis",19645,29168,472,47.0,67.35,1986,186,70,2590,612.0,4.23,0,0,0
SPD Smith,"ipl,bbl,cpl,tests,odis",19902,28838,500,46.72,69.01,1987,230,56,2201,448.2,4.91,0,0,0
JM Anderson,"ntb,tests,odis",1536,3768,320,8.35,40.76,198,3,956,26388,8028.0,3.29,0,0,0
MS Dhoni,"ipl,tests,odis",20333,23670,659,43.63,85.9,1675,547,1,94,22.0,4.27,0,0,0
SCJ Broad,"bbl,ntb,tests,odis",4177,6243,311,16.71,66.91,477,65,786,22695,6637.0,3.42,0,0,0
BA Stokes,"ipl,bbl,ntb,tests,odis",12036,16587,377,34.89,72.56,1230,305,357,11649,2874.7,4.05,0,0,0
HM Amla,"ipl,cpl,ntb,tests,odis",18474,28206,434,45.96,65.5,2085,104,0,37,9.0,4.11,0,0,0
LRPL Taylor,"ipl,cpl,ntb,tests,odis",18140,24638,519,42.38,73.63,1762,284,3,98,25.5,3.84,0,0,0
AD Mathews,"ipl,tests,odis",14378,23947,436,40.62,60.04,1311,201,180,6845,1649.2,4.15,0,0,0
TM Dilshan,"ipl,bbl,cpl,ntb,tests,odis",15108,18084,433,38.54,83.54,1733,103,139,6438,1452.0,4.43,0,0,0
MA Starc,"ipl,bbl,tests,odis",3018,4789,241,17.05,63.02,286,63,737,18557,4497.3,4.13,0,0,0
MM Ali,"ipl,cpl,psl,ntb,tests,odis",8600,10571,372,25.44,81.35,858,285,440,15856,3469.3,4.57,0,0,0
DPMD Jayawardene,"ipl,bbl,cpl,psl,ntb,tests,odis",17133,24797,515,36.45,69.09,1744,144,3,154,39.0,3.95,0,0,0
DW Steyn,"ipl,bbl,cpl,psl,ntb,tests,odis",1784,3519,203,11.81,50.7,173,47,761,17872,4489.7,3.98,0,0,0
Mohammad Hafeez,"ipl,bbl,cpl,psl,ntb,tests,odis",12241,16137,424,31.71,75.86,1277,222,227,8177,2044.3,4.0,0,0,0
JO Holder,"ipl,bbl,cpl,psl,tests,odis",6998,9283,357,24.82,75.39,631,230,488,15116,3450.7,4.38,0,0,0
MJ Clarke,"ipl,tests,odis",14827,22924,383,45.34,64.68,1451,77,85,3094,779.7,3.97,0,0,0
TG Southee,"ipl,ntb,tests,odis",3165,3611,276,14.19,87.65,282,134,668,21177,5442.7,3.89,0,0,0
BB McCullum,"ipl,bbl,cpl,psl,ntb,tests,odis",16409,18123,562,31.92,90.54,1700,545,1,108,30.2,3.58,0,0,0
V Sehwag,"ipl,tests,odis",14347,14042,403,36.69,102.17,1930,274,97,3833,964.3,3.97,0,0,0
F du Plessis,"ipl,bbl,cpl,psl,ntb,tests,odis",16023,19818,456,38.99,80.85,1586,333,2,267,46.0,5.8,0,0,0
